,Mobile_name,price
0,"SAMSUNG Galaxy S21 FE 5G (White, 256 GB)","<div class=""_30jeq3"">₹59,990</div>"
1,"SAMSUNG Galaxy S21 FE 5G (Olive, 256 GB)","<div class=""_30jeq3"">₹59,990</div>"
2,"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)","<div class=""_30jeq3"">₹16,999</div>"
3,"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)","<div class=""_30jeq3"">₹15,999</div>"
4,"SAMSUNG S20 FE 5G (Cloud Lavender, 128 GB)","<div class=""_30jeq3"">₹36,499</div>"
5,"SAMSUNG Galaxy A73 5G (Awesome Mint, 256 GB)","<div class=""_30jeq3"">₹49,990</div>"
6,SAMSUNG Guru Music 2,"<div class=""_30jeq3"">₹1,850</div>"
7,SAMSUNG GT-E1215,"<div class=""_30jeq3"">₹1,496</div>"
8,SAMSUNG Guru Music 2,"<div class=""_30jeq3"">₹2,068</div>"
9,SAMSUNG Guru Music 2,"<div class=""_30jeq3"">₹1,995</div>"
10,SAMSUNG GURU MUSIC 2,"<div class=""_30jeq3"">₹1,995</div>"
11,SAMSUNG Guru Music 2,"<div class=""_30jeq3"">₹1,995</div>"
12,"SAMSUNG Galaxy A03 Core (Black, 32 GB)","<div class=""_30jeq3"">₹6,999</div>"
13,"SAMSUNG Galaxy A03 Core (Blue, 32 GB)","<div class=""_30jeq3"">₹6,999</div>"
14,"SAMSUNG Galaxy M02 (Red, 32 GB)","<div class=""_30jeq3"">₹9,199</div>"
15,"SAMSUNG Galaxy J2 Core (Gold, 8 GB)","<div class=""_30jeq3"">₹6,299</div>"
16,"SAMSUNG Galaxy On Nxt (Gold, 16 GB)","<div class=""_30jeq3"">₹9,499</div>"
17,"SAMSUNG Galaxy J2 Core (Black, 8 GB)","<div class=""_30jeq3"">₹6,299</div>"
18,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)","<div class=""_30jeq3"">₹11,999</div>"
19,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)","<div class=""_30jeq3"">₹13,999</div>"
20,"SAMSUNG Galaxy F22 (Denim Black, 64 GB)","<div class=""_30jeq3"">₹11,999</div>"
21,"SAMSUNG Galaxy F22 (Denim Black, 128 GB)","<div class=""_30jeq3"">₹13,999</div>"
22,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)","<div class=""_30jeq3"">₹11,499</div>"
23,"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)","<div class=""_30jeq3"">₹11,499</div>"
24,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","<div class=""_30jeq3"">₹16,999</div>"
25,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","<div class=""_30jeq3"">₹16,999</div>"
26,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","<div class=""_30jeq3"">₹15,999</div>"
27,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","<div class=""_30jeq3"">₹15,999</div>"
28,"SAMSUNG Galaxy M32 (Black, 64 GB)","<div class=""_30jeq3"">₹15,999</div>"
29,"SAMSUNG M32 5G (Slate Black, 128 GB)","<div class=""_30jeq3"">₹17,035</div>"
